* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2020-07-09 14:03:06 PM CEST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\alma.sotillo\Desktop\Clinic    TaqPath COVID-19 Kit Template QS5 0_2ml_da1_5_1   v2-1.edt
* Experiment Name = covid QS5 standard template 20200323
* Experiment Run End Time = Not Started
* Experiment Type = Standard Curve
* Instrument Type = QuantStudio™ 5 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
1	A1	NC	"RGB(255,0,0)"			MS2	"RGB(0,0,0)"	NTC	JUN	None		
1	A1	NC	"RGB(255,0,0)"			N gene	"RGB(0,139,69)"	NTC	VIC	None		
1	A1	NC	"RGB(255,0,0)"			ORF1ab	"RGB(176,23,31)"	NTC	FAM	None		
1	A1	NC	"RGB(255,0,0)"			S gene	"RGB(0,0,255)"	NTC	ABY	None		
2	A2					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
2	A2					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
2	A2					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
2	A2					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
3	A3					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
3	A3					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
3	A3					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
3	A3					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
4	A4					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
4	A4					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
4	A4					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
4	A4					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
5	A5					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
5	A5					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
5	A5					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
5	A5					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
6	A6					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
6	A6					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
6	A6					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
6	A6					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
7	A7					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
7	A7					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
7	A7					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
7	A7					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
8	A8					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
8	A8					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
8	A8					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
8	A8					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
9	A9					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
9	A9					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
9	A9					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
9	A9					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
10	A10					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
10	A10					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
10	A10					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
10	A10					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
11	A11					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
11	A11					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
11	A11					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
11	A11					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
12	A12					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
12	A12					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
12	A12					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
12	A12					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
13	B1					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
13	B1					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
13	B1					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
13	B1					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
14	B2					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
14	B2					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
14	B2					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
14	B2					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
15	B3					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
15	B3					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
15	B3					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
15	B3					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
16	B4					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
16	B4					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
16	B4					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
16	B4					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
17	B5					MS2	"RGB(0,0,0)"	UNKNOWN	JUN	None		
17	B5					N gene	"RGB(0,139,69)"	UNKNOWN	VIC	None		
17	B5					ORF1ab	"RGB(176,23,31)"	UNKNOWN	FAM	None		
17	B5					S gene	"RGB(0,0,255)"	UNKNOWN	ABY	None		
