initial_samples sample height tube remaining_vol
1 1 0.5 2 2.0
2 1 0.5 2 24.0
2 2 0.5 3 24.0
3 1 0.5 2 46.0
3 2 0.5 3 46.0
3 3 0.5 4 46.0
4 1 0.5 1 68.0
4 2 0.5 2 68.0
4 3 0.5 3 68.0
4 4 0.5 4 68.0
5 1 0.75 1 90.0
5 2 0.5 1 70.0
5 3 0.5 1 50.0
5 4 0.75 2 90.0
5 5 0.5 2 70.0
6 1 1.16 1 112.0
6 2 0.79 1 92.0
6 3 0.5 1 72.0
6 4 0.5 1 52.0
6 5 1.16 2 112.0
6 6 0.79 2 92.0
7 1 1.57 1 134.0
7 2 1.2 1 114.0
7 3 0.82 1 94.0
7 4 0.5 1 74.0
7 5 0.5 1 54.0
7 6 1.57 2 134.0
7 7 1.2 2 114.0
8 1 1.98 1 156.0
8 2 1.61 1 136.0
8 3 1.23 1 116.0
8 4 0.86 1 96.0
8 5 0.5 1 76.0
8 6 0.5 1 56.0
8 7 1.98 2 156.0
8 8 1.61 2 136.0
9 1 2.39 1 178.0
9 2 2.02 1 158.0
9 3 1.65 1 138.0
9 4 1.27 1 118.0
9 5 0.9 1 98.0
9 6 0.52 1 78.0
9 7 0.5 1 58.0
9 8 2.39 2 178.0
9 9 2.02 2 158.0
10 1 2.81 1 200.0
10 2 2.43 1 180.0
10 3 2.06 1 160.0
10 4 1.68 1 140.0
10 5 1.31 1 120.0
10 6 0.94 1 100.0
10 7 0.56 1 80.0
10 8 0.5 1 60.0
10 9 2.81 2 200.0
10 10 2.43 2 180.0
11 1 3.22 1 222.0
11 2 2.84 1 202.0
11 3 2.47 1 182.0
11 4 2.1 1 162.0
11 5 1.72 1 142.0
11 6 1.35 1 122.0
11 7 0.97 1 102.0
11 8 0.6 1 82.0
11 9 0.5 1 62.0
11 10 3.22 2 222.0
11 11 2.84 2 202.0
12 1 3.63 1 244.0
12 2 3.26 1 224.0
12 3 2.88 1 204.0
12 4 2.51 1 184.0
12 5 2.13 1 164.0
12 6 1.76 1 144.0
12 7 1.38 1 124.0
12 8 1.01 1 104.0
12 9 0.64 1 84.0
12 10 0.5 1 64.0
12 11 3.63 2 244.0
12 12 3.26 2 224.0
13 1 4.04 1 266.0
13 2 3.67 1 246.0
13 3 3.29 1 226.0
13 4 2.92 1 206.0
13 5 2.54 1 186.0
13 6 2.17 1 166.0
13 7 1.8 1 146.0
13 8 1.42 1 126.0
13 9 1.05 1 106.0
13 10 0.67 1 86.0
13 11 0.5 1 66.0
13 12 4.04 2 266.0
13 13 3.67 2 246.0
14 1 4.45 1 288.0
14 2 4.08 1 268.0
14 3 3.7 1 248.0
14 4 3.33 1 228.0
14 5 2.96 1 208.0
14 6 2.58 1 188.0
14 7 2.21 1 168.0
14 8 1.83 1 148.0
14 9 1.46 1 128.0
14 10 1.09 1 108.0
14 11 0.71 1 88.0
14 12 0.5 1 68.0
14 13 4.45 2 288.0
14 14 4.08 2 268.0
15 1 4.86 1 310.0
15 2 4.49 1 290.0
15 3 4.12 1 270.0
15 4 3.74 1 250.0
15 5 3.37 1 230.0
15 6 2.99 1 210.0
15 7 2.62 1 190.0
15 8 2.24 1 170.0
15 9 1.87 1 150.0
15 10 1.5 1 130.0
15 11 1.12 1 110.0
15 12 0.75 1 90.0
15 13 0.5 1 70.0
15 14 0.5 1 50.0
15 15 4.86 2 310.0
16 1 5.28 1 332.0
16 2 4.9 1 312.0
16 3 4.53 1 292.0
16 4 4.15 1 272.0
16 5 3.78 1 252.0
16 6 3.4 1 232.0
16 7 3.03 1 212.0
16 8 2.66 1 192.0
16 9 2.28 1 172.0
16 10 1.91 1 152.0
16 11 1.53 1 132.0
16 12 1.16 1 112.0
16 13 0.79 1 92.0
16 14 0.5 1 72.0
16 15 0.5 1 52.0
16 16 5.28 2 332.0
17 1 5.69 1 354.0
17 2 5.31 1 334.0
17 3 4.94 1 314.0
17 4 4.56 1 294.0
17 5 4.19 1 274.0
17 6 3.82 1 254.0
17 7 3.44 1 234.0
17 8 3.07 1 214.0
17 9 2.69 1 194.0
17 10 2.32 1 174.0
17 11 1.95 1 154.0
17 12 1.57 1 134.0
17 13 1.2 1 114.0
17 14 0.82 1 94.0
17 15 0.5 1 74.0
17 16 0.5 1 54.0
17 17 5.69 2 354.0
18 1 6.1 1 376.0
18 2 5.72 1 356.0
18 3 5.35 1 336.0
18 4 4.98 1 316.0
18 5 4.6 1 296.0
18 6 4.23 1 276.0
18 7 3.85 1 256.0
18 8 3.48 1 236.0
18 9 3.11 1 216.0
18 10 2.73 1 196.0
18 11 2.36 1 176.0
18 12 1.98 1 156.0
18 13 1.61 1 136.0
18 14 1.23 1 116.0
18 15 0.86 1 96.0
18 16 0.5 1 76.0
18 17 0.5 1 56.0
18 18 6.1 2 376.0
19 1 6.51 1 398.0
19 2 6.14 1 378.0
19 3 5.76 1 358.0
19 4 5.39 1 338.0
19 5 5.01 1 318.0
19 6 4.64 1 298.0
19 7 4.27 1 278.0
19 8 3.89 1 258.0
19 9 3.52 1 238.0
19 10 3.14 1 218.0
19 11 2.77 1 198.0
19 12 2.39 1 178.0
19 13 2.02 1 158.0
19 14 1.65 1 138.0
19 15 1.27 1 118.0
19 16 0.9 1 98.0
19 17 0.52 1 78.0
19 18 0.5 1 58.0
19 19 6.51 2 398.0
20 1 6.92 1 420.0
20 2 6.55 1 400.0
20 3 6.17 1 380.0
20 4 5.8 1 360.0
20 5 5.43 1 340.0
20 6 5.05 1 320.0
20 7 4.68 1 300.0
20 8 4.3 1 280.0
20 9 3.93 1 260.0
20 10 3.55 1 240.0
20 11 3.18 1 220.0
20 12 2.81 1 200.0
20 13 2.43 1 180.0
20 14 2.06 1 160.0
20 15 1.68 1 140.0
20 16 1.31 1 120.0
20 17 0.94 1 100.0
20 18 0.56 1 80.0
20 19 0.5 1 60.0
20 20 6.92 2 420.0
21 1 7.33 1 442.0
21 2 6.96 1 422.0
21 3 6.58 1 402.0
21 4 6.21 1 382.0
21 5 5.84 1 362.0
21 6 5.46 1 342.0
21 7 5.09 1 322.0
21 8 4.71 1 302.0
21 9 4.34 1 282.0
21 10 3.97 1 262.0
21 11 3.59 1 242.0
21 12 3.22 1 222.0
21 13 2.84 1 202.0
21 14 2.47 1 182.0
21 15 2.1 1 162.0
21 16 1.72 1 142.0
21 17 1.35 1 122.0
21 18 0.97 1 102.0
21 19 0.6 1 82.0
21 20 0.5 1 62.0
21 21 7.33 2 442.0
22 1 7.74 1 464.0
22 2 7.37 1 444.0
22 3 7.0 1 424.0
22 4 6.62 1 404.0
22 5 6.25 1 384.0
22 6 5.87 1 364.0
22 7 5.5 1 344.0
22 8 5.13 1 324.0
22 9 4.75 1 304.0
22 10 4.38 1 284.0
22 11 4.0 1 264.0
22 12 3.63 1 244.0
22 13 3.26 1 224.0
22 14 2.88 1 204.0
22 15 2.51 1 184.0
22 16 2.13 1 164.0
22 17 1.76 1 144.0
22 18 1.38 1 124.0
22 19 1.01 1 104.0
22 20 0.64 1 84.0
22 21 0.5 1 64.0
22 22 7.74 2 464.0
23 1 8.16 1 486.0
23 2 7.78 1 466.0
23 3 7.41 1 446.0
23 4 7.03 1 426.0
23 5 6.66 1 406.0
23 6 6.29 1 386.0
23 7 5.91 1 366.0
23 8 5.54 1 346.0
23 9 5.16 1 326.0
23 10 4.79 1 306.0
23 11 4.41 1 286.0
23 12 4.04 1 266.0
23 13 3.67 1 246.0
23 14 3.29 1 226.0
23 15 2.92 1 206.0
23 16 2.54 1 186.0
23 17 2.17 1 166.0
23 18 1.8 1 146.0
23 19 1.42 1 126.0
23 20 1.05 1 106.0
23 21 0.67 1 86.0
23 22 0.5 1 66.0
23 23 8.16 2 486.0
24 1 8.57 1 508.0
24 2 8.19 1 488.0
24 3 7.82 1 468.0
24 4 7.45 1 448.0
24 5 7.07 1 428.0
24 6 6.7 1 408.0
24 7 6.32 1 388.0
24 8 5.95 1 368.0
24 9 5.57 1 348.0
24 10 5.2 1 328.0
24 11 4.83 1 308.0
24 12 4.45 1 288.0
24 13 4.08 1 268.0
24 14 3.7 1 248.0
24 15 3.33 1 228.0
24 16 2.96 1 208.0
24 17 2.58 1 188.0
24 18 2.21 1 168.0
24 19 1.83 1 148.0
24 20 1.46 1 128.0
24 21 1.09 1 108.0
24 22 0.71 1 88.0
24 23 0.5 1 68.0
24 24 8.57 2 508.0
25 1 8.98 1 530.0
25 2 8.61 1 510.0
25 3 8.23 1 490.0
25 4 7.86 1 470.0
25 5 7.48 1 450.0
25 6 7.11 1 430.0
25 7 6.73 1 410.0
25 8 6.36 1 390.0
25 9 5.99 1 370.0
25 10 5.61 1 350.0
25 11 5.24 1 330.0
25 12 4.86 1 310.0
25 13 4.49 1 290.0
25 14 4.12 1 270.0
25 15 3.74 1 250.0
25 16 3.37 1 230.0
25 17 2.99 1 210.0
25 18 2.62 1 190.0
25 19 2.24 1 170.0
25 20 1.87 1 150.0
25 21 1.5 1 130.0
25 22 1.12 1 110.0
25 23 0.75 1 90.0
25 24 0.5 1 70.0
25 25 0.5 1 50.0
26 1 9.39 1 552.0
26 2 9.02 1 532.0
26 3 8.64 1 512.0
26 4 8.27 1 492.0
26 5 7.89 1 472.0
26 6 7.52 1 452.0
26 7 7.15 1 432.0
26 8 6.77 1 412.0
26 9 6.4 1 392.0
26 10 6.02 1 372.0
26 11 5.65 1 352.0
26 12 5.28 1 332.0
26 13 4.9 1 312.0
26 14 4.53 1 292.0
26 15 4.15 1 272.0
26 16 3.78 1 252.0
26 17 3.4 1 232.0
26 18 3.03 1 212.0
26 19 2.66 1 192.0
26 20 2.28 1 172.0
26 21 1.91 1 152.0
26 22 1.53 1 132.0
26 23 1.16 1 112.0
26 24 0.79 1 92.0
26 25 0.5 1 72.0
26 26 0.5 1 52.0
27 1 9.8 1 574.0
27 2 9.43 1 554.0
27 3 9.05 1 534.0
27 4 8.68 1 514.0
27 5 8.31 1 494.0
27 6 7.93 1 474.0
27 7 7.56 1 454.0
27 8 7.18 1 434.0
27 9 6.81 1 414.0
27 10 6.44 1 394.0
27 11 6.06 1 374.0
27 12 5.69 1 354.0
27 13 5.31 1 334.0
27 14 4.94 1 314.0
27 15 4.56 1 294.0
27 16 4.19 1 274.0
