initial_samples sample height tube remaining_vol
1 1 0.5 1 52.0
2 1 0.5 1 74.0
2 2 0.5 1 54.0
3 1 0.5 1 96.0
3 2 0.5 1 76.0
3 3 0.5 1 56.0
4 1 0.5 1 118.0
4 2 0.5 1 98.0
4 3 0.5 1 78.0
4 4 0.5 1 58.0
5 1 0.5 1 140.0
5 2 0.5 1 120.0
5 3 0.5 1 100.0
5 4 0.5 1 80.0
5 5 0.5 1 60.0
6 1 0.5 1 162.0
6 2 0.5 1 142.0
6 3 0.5 1 122.0
6 4 0.5 1 102.0
6 5 0.5 1 82.0
6 6 0.5 1 62.0
7 1 0.5 1 184.0
7 2 0.5 1 164.0
7 3 0.5 1 144.0
7 4 0.5 1 124.0
7 5 0.5 1 104.0
7 6 0.5 1 84.0
7 7 0.5 1 64.0
8 1 0.5 1 206.0
8 2 0.5 1 186.0
8 3 0.5 1 166.0
8 4 0.5 1 146.0
8 5 0.5 1 126.0
8 6 0.5 1 106.0
8 7 0.5 1 86.0
8 8 0.5 1 66.0
9 1 0.52 1 228.0
9 2 0.5 1 208.0
9 3 0.5 1 188.0
9 4 0.5 1 168.0
9 5 0.5 1 148.0
9 6 0.5 1 128.0
9 7 0.5 1 108.0
9 8 0.5 1 88.0
9 9 0.5 1 68.0
10 1 0.94 1 250.0
10 2 0.56 1 230.0
10 3 0.5 1 210.0
10 4 0.5 1 190.0
10 5 0.5 1 170.0
10 6 0.5 1 150.0
10 7 0.5 1 130.0
10 8 0.5 1 110.0
10 9 0.5 1 90.0
10 10 0.5 1 70.0
11 1 1.35 1 272.0
11 2 0.97 1 252.0
11 3 0.6 1 232.0
11 4 0.5 1 212.0
11 5 0.5 1 192.0
11 6 0.5 1 172.0
11 7 0.5 1 152.0
11 8 0.5 1 132.0
11 9 0.5 1 112.0
11 10 0.5 1 92.0
11 11 0.5 1 72.0
12 1 1.76 1 294.0
12 2 1.38 1 274.0
12 3 1.01 1 254.0
12 4 0.64 1 234.0
12 5 0.5 1 214.0
12 6 0.5 1 194.0
12 7 0.5 1 174.0
12 8 0.5 1 154.0
12 9 0.5 1 134.0
12 10 0.5 1 114.0
12 11 0.5 1 94.0
12 12 0.5 1 74.0
13 1 2.17 1 316.0
13 2 1.8 1 296.0
13 3 1.42 1 276.0
13 4 1.05 1 256.0
13 5 0.67 1 236.0
13 6 0.5 1 216.0
13 7 0.5 1 196.0
13 8 0.5 1 176.0
13 9 0.5 1 156.0
13 10 0.5 1 136.0
13 11 0.5 1 116.0
13 12 0.5 1 96.0
13 13 0.5 1 76.0
14 1 2.58 1 338.0
14 2 2.21 1 318.0
14 3 1.83 1 298.0
14 4 1.46 1 278.0
14 5 1.09 1 258.0
14 6 0.71 1 238.0
14 7 0.5 1 218.0
14 8 0.5 1 198.0
14 9 0.5 1 178.0
14 10 0.5 1 158.0
14 11 0.5 1 138.0
14 12 0.5 1 118.0
14 13 0.5 1 98.0
14 14 0.5 1 78.0
15 1 2.99 1 360.0
15 2 2.62 1 340.0
15 3 2.24 1 320.0
15 4 1.87 1 300.0
15 5 1.5 1 280.0
15 6 1.12 1 260.0
15 7 0.75 1 240.0
15 8 0.5 1 220.0
15 9 0.5 1 200.0
15 10 0.5 1 180.0
15 11 0.5 1 160.0
15 12 0.5 1 140.0
15 13 0.5 1 120.0
15 14 0.5 1 100.0
15 15 0.5 1 80.0
16 1 3.4 1 382.0
16 2 3.03 1 362.0
16 3 2.66 1 342.0
16 4 2.28 1 322.0
16 5 1.91 1 302.0
16 6 1.53 1 282.0
16 7 1.16 1 262.0
16 8 0.79 1 242.0
16 9 0.5 1 222.0
16 10 0.5 1 202.0
16 11 0.5 1 182.0
16 12 0.5 1 162.0
16 13 0.5 1 142.0
16 14 0.5 1 122.0
16 15 0.5 1 102.0
16 16 0.5 1 82.0
17 1 3.82 1 404.0
17 2 3.44 1 384.0
17 3 3.07 1 364.0
17 4 2.69 1 344.0
17 5 2.32 1 324.0
17 6 1.95 1 304.0
17 7 1.57 1 284.0
17 8 1.2 1 264.0
17 9 0.82 1 244.0
17 10 0.5 1 224.0
17 11 0.5 1 204.0
17 12 0.5 1 184.0
17 13 0.5 1 164.0
17 14 0.5 1 144.0
17 15 0.5 1 124.0
17 16 0.5 1 104.0
17 17 0.5 1 84.0
18 1 4.23 1 426.0
18 2 3.85 1 406.0
18 3 3.48 1 386.0
18 4 3.11 1 366.0
18 5 2.73 1 346.0
18 6 2.36 1 326.0
18 7 1.98 1 306.0
18 8 1.61 1 286.0
18 9 1.23 1 266.0
18 10 0.86 1 246.0
18 11 0.5 1 226.0
18 12 0.5 1 206.0
18 13 0.5 1 186.0
18 14 0.5 1 166.0
18 15 0.5 1 146.0
18 16 0.5 1 126.0
18 17 0.5 1 106.0
18 18 0.5 1 86.0
19 1 4.64 1 448.0
19 2 4.27 1 428.0
19 3 3.89 1 408.0
19 4 3.52 1 388.0
19 5 3.14 1 368.0
19 6 2.77 1 348.0
19 7 2.39 1 328.0
19 8 2.02 1 308.0
19 9 1.65 1 288.0
19 10 1.27 1 268.0
19 11 0.9 1 248.0
19 12 0.52 1 228.0
19 13 0.5 1 208.0
19 14 0.5 1 188.0
19 15 0.5 1 168.0
19 16 0.5 1 148.0
19 17 0.5 1 128.0
19 18 0.5 1 108.0
19 19 0.5 1 88.0
20 1 5.05 1 470.0
20 2 4.68 1 450.0
20 3 4.3 1 430.0
20 4 3.93 1 410.0
20 5 3.55 1 390.0
20 6 3.18 1 370.0
20 7 2.81 1 350.0
20 8 2.43 1 330.0
20 9 2.06 1 310.0
20 10 1.68 1 290.0
20 11 1.31 1 270.0
20 12 0.94 1 250.0
20 13 0.56 1 230.0
20 14 0.5 1 210.0
20 15 0.5 1 190.0
20 16 0.5 1 170.0
20 17 0.5 1 150.0
20 18 0.5 1 130.0
20 19 0.5 1 110.0
20 20 0.5 1 90.0
21 1 5.46 1 492.0
21 2 5.09 1 472.0
21 3 4.71 1 452.0
21 4 4.34 1 432.0
21 5 3.97 1 412.0
21 6 3.59 1 392.0
21 7 3.22 1 372.0
21 8 2.84 1 352.0
21 9 2.47 1 332.0
21 10 2.1 1 312.0
21 11 1.72 1 292.0
21 12 1.35 1 272.0
21 13 0.97 1 252.0
21 14 0.6 1 232.0
21 15 0.5 1 212.0
21 16 0.5 1 192.0
21 17 0.5 1 172.0
21 18 0.5 1 152.0
21 19 0.5 1 132.0
21 20 0.5 1 112.0
21 21 0.5 1 92.0
22 1 5.87 1 514.0
22 2 5.5 1 494.0
22 3 5.13 1 474.0
22 4 4.75 1 454.0
22 5 4.38 1 434.0
22 6 4.0 1 414.0
22 7 3.63 1 394.0
22 8 3.26 1 374.0
22 9 2.88 1 354.0
22 10 2.51 1 334.0
22 11 2.13 1 314.0
22 12 1.76 1 294.0
22 13 1.38 1 274.0
22 14 1.01 1 254.0
22 15 0.64 1 234.0
22 16 0.5 1 214.0
22 17 0.5 1 194.0
22 18 0.5 1 174.0
22 19 0.5 1 154.0
22 20 0.5 1 134.0
22 21 0.5 1 114.0
22 22 0.5 1 94.0
23 1 6.29 1 536.0
23 2 5.91 1 516.0
23 3 5.54 1 496.0
23 4 5.16 1 476.0
23 5 4.79 1 456.0
23 6 4.41 1 436.0
23 7 4.04 1 416.0
23 8 3.67 1 396.0
23 9 3.29 1 376.0
23 10 2.92 1 356.0
23 11 2.54 1 336.0
23 12 2.17 1 316.0
23 13 1.8 1 296.0
23 14 1.42 1 276.0
23 15 1.05 1 256.0
23 16 0.67 1 236.0
23 17 0.5 1 216.0
23 18 0.5 1 196.0
23 19 0.5 1 176.0
23 20 0.5 1 156.0
23 21 0.5 1 136.0
23 22 0.5 1 116.0
23 23 0.5 1 96.0
24 1 6.7 1 558.0
24 2 6.32 1 538.0
24 3 5.95 1 518.0
24 4 5.57 1 498.0
24 5 5.2 1 478.0
24 6 4.83 1 458.0
24 7 4.45 1 438.0
24 8 4.08 1 418.0
24 9 3.7 1 398.0
24 10 3.33 1 378.0
24 11 2.96 1 358.0
24 12 2.58 1 338.0
24 13 2.21 1 318.0
24 14 1.83 1 298.0
24 15 1.46 1 278.0
24 16 1.09 1 258.0
24 17 0.71 1 238.0
24 18 0.5 1 218.0
24 19 0.5 1 198.0
24 20 0.5 1 178.0
24 21 0.5 1 158.0
24 22 0.5 1 138.0
